open_time,open,high,low,close,volume
2021-04-28 00:00:00+00:00,2666.17,2759.51,2560.59,2747.44,9367.78294
2021-04-29 00:00:00+00:00,2749.64,2798.0,2668.5,2757.5,6802.13877
2021-04-30 00:00:00+00:00,2757.49,2797.49,2725.1,2773.94,4497.65251
2021-05-01 00:00:00+00:00,2773.37,2954.43,2754.42,2945.37,6301.24992
2021-05-02 00:00:00+00:00,2945.58,2984.73,2853.87,2950.16,4472.49554
2021-05-03 00:00:00+00:00,2950.8,3454.24,2950.66,3429.21,12413.43062
2021-05-04 00:00:00+00:00,3434.81,3526.71,3160.14,3239.69,23163.51404
2021-05-05 00:00:00+00:00,3239.42,3546.0,3210.0,3523.55,13488.97396
2021-05-06 00:00:00+00:00,3525.64,3606.29,3376.93,3490.59,10809.45207
2021-05-07 00:00:00+00:00,3493.72,3586.95,3353.76,3479.39,7038.52464
2021-05-08 00:00:00+00:00,3484.86,3963.89,3450.9,3910.01,8609.36426
2021-05-09 00:00:00+00:00,3910.78,3982.99,3729.65,3924.21,10542.13064
2021-05-10 00:00:00+00:00,3926.89,4205.53,3601.0,3948.34,14775.34146
2021-05-11 00:00:00+00:00,3944.14,4179.15,3772.68,4169.87,10318.01206
2021-05-12 00:00:00+00:00,4174.34,4375.04,3735.31,3821.67,15809.90948
2021-05-13 00:00:00+00:00,3811.71,4034.34,3452.1,3718.01,19526.78498
2021-05-14 00:00:00+00:00,3718.32,4174.29,3693.12,4074.03,9974.75377
2021-05-15 00:00:00+00:00,4075.27,4133.3,3633.21,3645.95,8501.51732
2021-05-16 00:00:00+00:00,3647.15,3879.0,3100.0,3582.24,12903.60069
2021-05-17 00:00:00+00:00,3582.48,3587.1,3118.98,3282.28,16342.09326
2021-05-18 00:00:00+00:00,3282.35,3563.42,3241.14,3374.97,11207.37939
2021-05-19 00:00:00+00:00,3374.76,3441.16,1900.0,2436.58,30623.62552
2021-05-20 00:00:00+00:00,2437.18,3000.0,2150.0,2767.44,25782.42626
2021-05-21 00:00:00+00:00,2767.17,2937.68,2100.0,2430.4,23509.17417
2021-05-22 00:00:00+00:00,2431.34,2484.96,2153.5,2294.51,21816.07794
2021-05-23 00:00:00+00:00,2296.05,2380.75,1730.5,2096.32,28990.51321
2021-05-24 00:00:00+00:00,2096.32,2675.14,2080.0,2647.68,18040.10746
2021-05-25 00:00:00+00:00,2647.71,2749.76,2380.69,2704.51,19005.82794
2021-05-26 00:00:00+00:00,2705.52,2909.97,2643.02,2885.41,14126.89676
2021-05-27 00:00:00+00:00,2884.78,2889.26,2634.66,2741.7,8544.21733
2021-05-28 00:00:00+00:00,2741.44,2760.73,2328.22,2411.9,12321.95757
2021-05-29 00:00:00+00:00,2411.35,2574.02,2206.31,2278.27,12220.69015
2021-05-30 00:00:00+00:00,2278.34,2477.03,2177.92,2386.47,9900.96432
2021-05-31 00:00:00+00:00,2384.55,2719.99,2272.51,2704.95,11160.163
2021-06-01 00:00:00+00:00,2704.97,2739.3,2527.0,2634.49,11255.81269
2021-06-02 00:00:00+00:00,2634.64,2802.93,2551.66,2706.86,6655.14936
2021-06-03 00:00:00+00:00,2703.3,2891.5,2662.94,2855.8,7007.0061
2021-06-04 00:00:00+00:00,2857.01,2859.64,2546.0,2687.84,8277.24865
2021-06-05 00:00:00+00:00,2690.52,2816.52,2552.27,2628.89,7686.21136
2021-06-06 00:00:00+00:00,2622.3,2743.66,2613.49,2711.42,4871.6764
2021-06-07 00:00:00+00:00,2711.65,2847.21,2570.0,2594.57,8441.3263
2021-06-08 00:00:00+00:00,2590.47,2620.07,2308.52,2507.53,11529.12136
2021-06-09 00:00:00+00:00,2507.53,2625.47,2406.61,2609.71,10123.52855
2021-06-10 00:00:00+00:00,2610.7,2623.45,2426.57,2470.39,6349.12663
2021-06-11 00:00:00+00:00,2470.42,2497.08,2321.42,2353.25,5727.52661
2021-06-12 00:00:00+00:00,2355.46,2453.24,2250.0,2368.54,6579.22322
2021-06-13 00:00:00+00:00,2370.37,2550.01,2308.64,2508.43,7551.5183
2021-06-14 00:00:00+00:00,2510.57,2608.46,2458.95,2581.26,5267.37475
2021-06-15 00:00:00+00:00,2580.46,2639.88,2507.94,2543.72,4354.80467
2021-06-16 00:00:00+00:00,2542.01,2556.27,2350.33,2368.38,5985.19119
